"id","category","difficulty","prompt","correct_answer","original_answer_a","original_answer_b","original_answer_c","original_answer_d","proposed_answer_a","proposed_answer_b","proposed_answer_c","proposed_answer_d","changed_distractor_count","original_answer_lengths","proposed_answer_lengths","original_correct_length_rank","proposed_correct_length_rank","tier_original_pick_longest_rate","tier_proposed_pick_longest_rate","tier_largest_remaining_length_rank_signal","scope_rule","review_status","review_note"
"movies-hard-1","Movies","Hard","What is the Kuleshov effect?","Meaning created by the juxtaposition of shots","Meaning created by the juxtaposition of shots","A lighting technique","A lens distortion","A sound mixing method","Meaning created by the juxtaposition of shots","A lighting technique","A warped screen perspective produced by the extreme curvature of a lens","A sound mixing method","1","45/20/17/21","45/20/71/21","4 (longest)","3 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-11","Movies","Hard","What is 'day for night' shooting?","Filming in daylight and treating it to look like night","Filming in daylight and treating it to look like night","Shooting only after sunset","Using practical moonlight","Reshooting a scene the next day","Filming in daylight and treating it to look like night","Filming exterior scenes only during the hours between sunset and sunrise","Illuminating a set exclusively with naturally reflected moonlight","Returning to the same location on the following day to repeat a scene","3","54/26/25/31","54/72/65/69","4 (longest)","1 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-13","Movies","Hard","What does the term 'auteur theory' propose?","The director is the primary creative author of a film","The director is the primary creative author of a film","The screenwriter owns the work","Studios shape films most","Editors determine meaning","The director is the primary creative author of a film","The screenwriter owns the work","A studio's collective commercial decisions are what primarily shape a film","The editor's construction of the sequence determines the film's authorship","2","53/30/24/25","53/30/74/74","4 (longest)","2 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-14","Movies","Hard","What is a 'match cut'?","A cut linking two shots by visual or aural similarity","A cut linking two shots by visual or aural similarity","A jump in time","A fade to black","A split screen","A cut linking two shots by visual or aural similarity","An abrupt edit that skips forward within one continuous action","A gradual transition in which the existing image darkens completely","A frame divided into panels that display simultaneous actions","3","53/14/15/14","53/62/67/61","4 (longest)","1 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-16","Movies","Hard","What is 'the 180-degree rule'?","Keeping the camera on one side of an imaginary axis between subjects","Keeping the camera on one side of an imaginary axis between subjects","Rotating the camera fully","Reversing the film","Shooting in a semicircle","Keeping the camera on one side of an imaginary axis between subjects","Turning the camera through a complete circle during one uninterrupted shot","Playing exposed film backwards so that movement appears to reverse on screen","Arranging cameras along a semicircular track surrounding the performers","3","68/25/18/24","68/74/76/71","4 (longest)","1 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-18","Movies","Hard","What was the Technicolor three-strip process?","A method recording three colour records on separate film strips","A method recording three colour records on separate film strips","An early sound system","A widescreen format","A projection lamp","A method recording three colour records on separate film strips","An early optical sound system that recorded audio along the edge of the film","A widescreen exhibition method that used several synchronized projectors","A high-intensity projection lamp designed to display brighter colours","3","63/21/19/17","63/76/72/69","4 (longest)","1 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-23","Movies","Hard","What is colour grading?","Adjusting a film's colour and contrast in post-production","Adjusting a film's colour and contrast in post-production","Choosing set paint","Selecting film stock","Lighting a scene","Adjusting a film's colour and contrast in post-production","Selecting the exact paint colours applied to scenery and physical props","Choosing a film stock with a particular grain structure and light sensitivity","Setting the brightness and colour of every lamp before photography begins","3","57/18/20/16","57/71/77/73","4 (longest)","1 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-24","Movies","Hard","What is a 'rough cut'?","An early assembly of a film before fine editing","An early assembly of a film before fine editing","The final release version","A trailer","A test screening report","An early assembly of a film before fine editing","The final release version","A short edited preview assembled to advertise the forthcoming feature","A test screening report","1","47/25/9/23","47/25/69/23","4 (longest)","3 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-26","Movies","Hard","What does 'box office gross' mean?","Total ticket revenue before deductions","Total ticket revenue before deductions","Studio profit","Marketing spend","Net earnings after tax","Total ticket revenue before deductions","Revenue remaining after a studio has recovered the production budget","The total amount spent to advertise and distribute a finished movie","Company income after taxes and contractual expenses have been deducted","3","38/13/15/22","38/68/67/70","4 (longest)","1 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-27","Movies","Hard","What is a 'steadicam'?","A stabilizing camera rig worn by an operator","A stabilizing camera rig worn by an operator","A fixed tripod","A drone","A remote-controlled dolly","A stabilizing camera rig worn by an operator","A stationary three-legged support that holds a camera in one position","An unmanned aircraft carrying a small camera above the filmed action","A remote-controlled dolly","2","44/14/7/25","44/69/68/25","4 (longest)","2 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-29","Movies","Hard","What was 'New Hollywood'?","A period of director-driven American filmmaking from the late 1960s","A period of director-driven American filmmaking from the late 1960s","A studio","A distribution company","A film festival","A period of director-driven American filmmaking from the late 1960s","A single film studio created to compete with the established companies","A business that acquired screening rights and supplied films to theatres","A film festival","2","67/8/22/15","67/70/72/15","4 (longest)","2 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-30","Movies","Hard","What is 'anamorphic' lensing?","Squeezing a wide image onto standard film, then unsqueezing it","Squeezing a wide image onto standard film, then unsqueezing it","Adding grain","Shooting in black and white","Filming underwater","Squeezing a wide image onto standard film, then unsqueezing it","Digitally adding simulated grain to an otherwise clean recorded image","Shooting in black and white","Placing the camera in a watertight housing below the surface of the water","2","62/12/27/18","62/69/27/73","4 (longest)","2 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-36","Movies","Hard","What is an L-cut in film editing?","Audio from the first shot continues over the next image","Audio from the first shot continues over the next image","A shot is rotated ninety degrees","Two scenes end on identical frames","The picture cuts before any sound begins","Audio from the first shot continues over the next image","The image turns through a quarter rotation while the normal audio continues","Two separate sequences conclude on frames with precisely matching compositions","The picture cuts before any sound begins","2","55/32/34/40","55/75/78/40","4 (longest)","2 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-38","Movies","Hard","What is rotoscoping?","Tracing or referencing live-action footage frame by frame for animation","Tracing or referencing live-action footage frame by frame for animation","Projecting scenery behind actors","Recording dialogue after filming","Shooting miniatures at high speed","Tracing or referencing live-action footage frame by frame for animation","Projecting filmed scenery onto a screen positioned behind live performers","Recording dialogue after filming","Filming scale models at an increased frame rate to simulate greater mass","2","71/32/32/33","71/73/32/72","4 (longest)","2 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-39","Movies","Hard","What does cinéma vérité seek to emphasize?","Direct engagement with real people and events using lightweight documentary methods","Direct engagement with real people and events using lightweight documentary methods","Elaborate studio spectacle","Silent comedy performed on sets","Animation without dialogue","Direct engagement with real people and events using lightweight documentary methods","Carefully constructed studio spectacle relying on controlled lighting, sets, and rehearsed performers","Physical comedy staged on artificial sets with silent performers and carefully planned camera positions","Animated sequences created entirely without recorded dialogue or footage of real people and events","3","83/26/31/26","83/101/103/98","4 (longest)","1 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-40","Movies","Hard","What does 'pre-Code Hollywood' refer to?","American films made before strict Production Code enforcement in 1934","American films made before strict Production Code enforcement in 1934","Films made before sound was invented","Movies released before the first Academy Awards","Independent films made outside California","American films made before strict Production Code enforcement in 1934","Films made before sound was invented","Movies released before the Academy held its first annual awards ceremony","Independent films made outside California","1","69/36/47/41","69/36/72/41","4 (longest)","3 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-5","Movies","Hard","What was the Hays Code?","A self-imposed American film content standard","A self-imposed American film content standard","A union agreement","A film stock format","A distribution contract","A self-imposed American film content standard","A labour contract establishing pay and working hours for union film crews","A standardized size and perforation pattern for motion-picture film stock","A business agreement governing the right to supply movies to theatres","3","45/17/19/23","45/73/73/69","4 (longest)","1 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-hard-9","Movies","Hard","What does 'mise-en-scène' refer to?","Everything arranged within the frame","Everything arranged within the frame","The editing rhythm","The musical score","The distribution plan","Everything arranged within the frame","The tempo and pattern created by the length and order of edited shots","The musical score","The distribution plan","1","36/18/17/21","36/69/17/21","4 (longest)","3 of 4 (shortest to longest)","73.1%","28.1%","28.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"movies-medium-25","Movies","Medium","What is a 'MacGuffin'?","An object that drives the plot but matters little in itself","An object that drives the plot but matters little in itself","A camera movement","A type of lens","A closing credit","An object that drives the plot but matters little in itself","A planned movement that carries the camera through the scene during a shot","An optical assembly that determines the image's angle of view and focus","A final title card identifying the last credited member of the film crew","3","59/17/14/16","59/74/71/72","4 (longest)","1 of 4 (shortest to longest)","40.6%","38.1%","38.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-10","Music","Hard","What does 'ostinato' mean?","A persistently repeated musical figure","A persistently repeated musical figure","A sudden silence","A rising scale","A key change","A persistently repeated musical figure","A sudden silence","A rising scale","A harmonic shift from an established tonal centre to another","1","38/16/14/12","38/16/14/60","4 (longest)","3 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-13","Music","Hard","What does 'rubato' instruct a performer to do?","Flexibly stretch and compress the tempo","Flexibly stretch and compress the tempo","Play strictly in time","Play very loudly","Repeat a section","Flexibly stretch and compress the tempo","Play strictly in time","Increase the dynamic level to the strongest marked volume","Repeat a section","1","39/21/16/16","39/21/57/16","4 (longest)","3 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-14","Music","Hard","What is the 'circle of fifths' used for?","Showing relationships between keys and their signatures","Showing relationships between keys and their signatures","Tuning drums","Measuring tempo","Naming intervals only","Showing relationships between keys and their signatures","Adjusting the tension of drumheads to tune percussion instruments","Calculating the number of beats performed during each minute","Naming intervals only","2","55/12/15/21","55/65/60/21","4 (longest)","2 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-15","Music","Hard","What is 'counterpoint'?","The relationship between independent simultaneous melodies","The relationship between independent simultaneous melodies","A rhythmic accent","A chord inversion","A vocal technique","The relationship between independent simultaneous melodies","A deliberate stress placed on a weak beat or rhythmic subdivision","A rearrangement of chord tones that places a non-root note in the bass","A vocal method that changes the resonance and placement of the voice","3","58/17/17/17","58/65/70/68","4 (longest)","1 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-18","Music","Hard","What does through-composed mean?","Using new music for successive sections rather than repeating one stanza's music","Using new music for successive sections rather than repeating one stanza's music","Built entirely on one chord","Composed at the keyboard","Written only for full orchestra","Using new music for successive sections rather than repeating one stanza's music","Sustaining one unchanging harmony as the foundation of the entire composition from beginning to end","Creating every musical section spontaneously at a keyboard during one live performance","Scoring the work exclusively for a complete symphony orchestra without voices or soloists","3","80/27/24/31","80/99/86/89","4 (longest)","1 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-19","Music","Hard","What is just intonation?","Tuning based on simple whole-number frequency ratios","Tuning based on simple whole-number frequency ratios","Tuning every note to A440","Dividing the octave into equal semitones","Randomly varying pitch","Tuning based on simple whole-number frequency ratios","Tuning every instrument to a reference pitch fixed at exactly A440","Dividing each octave into equal steps on a logarithmic frequency scale","Changing the tuning of each pitch unpredictably at every performance","3","52/25/40/22","52/66/70/68","4 (longest)","1 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-2","Music","Hard","What does 'twelve-tone technique' involve?","Using all twelve chromatic pitches in a fixed order","Using all twelve chromatic pitches in a fixed order","Twelve-bar blues","A twelve-note scale","Twelve instruments","Using all twelve chromatic pitches in a fixed order","Repeating the twelve-bar harmonic pattern associated with the blues","A twelve-note scale","Twelve instruments","1","51/16/19/18","51/67/19/18","4 (longest)","3 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-20","Music","Hard","What is a 'ground bass'?","A repeating bass line over which the upper parts vary","A repeating bass line over which the upper parts vary","The lowest note of a chord","A bass drum pattern","An open string","A repeating bass line over which the upper parts vary","The lowest note of a chord","A bass drum pattern","The lowest pitch a string produces without touching the fingerboard","1","53/26/19/14","53/26/19/67","4 (longest)","3 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-22","Music","Hard","What is 'timbre'?","The tonal colour that distinguishes instruments","The tonal colour that distinguishes instruments","The loudness","The pitch","The rhythm","The tonal colour that distinguishes instruments","The amplitude heard as the relative strength or softness of a sound","The frequency heard as the relative highness or lowness of a note","The arrangement of durations and accents within the flow of musical time","3","47/12/9/10","47/67/65/72","4 (longest)","1 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-26","Music","Hard","What is a 'motet'?","A polyphonic choral composition, often sacred","A polyphonic choral composition, often sacred","A solo song with lute","An orchestral overture","A folk dance","A polyphonic choral composition, often sacred","A solo vocal composition accompanied by a plucked lute","An orchestral overture","A traditional dance melody passed between members of a community","2","45/21/22/12","45/54/22/64","4 (longest)","2 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-27","Music","Hard","What does 'enharmonic' mean?","Two note names for the same pitch","Two note names for the same pitch","A dissonant chord","A microtonal interval","A modulation","Two note names for the same pitch","A chord containing intervals that create unresolved harmonic tension","A microtonal interval","A movement from one established key centre to a different one","2","33/17/21/12","33/68/21/61","4 (longest)","2 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-29","Music","Hard","What does 'MIDI' transmit between electronic instruments?","Performance data rather than audio","Performance data rather than audio","Recorded audio","Video sync","Sheet music images","Performance data rather than audio","A digitized waveform representing performed or recorded sound","Timing pulses used to coordinate separate video and audio devices","Sheet music images","2","34/14/10/18","34/61/65/18","4 (longest)","2 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-3","Music","Hard","What is a 'fugue'?","A contrapuntal work where a theme is imitated across voices","A contrapuntal work where a theme is imitated across voices","A slow introduction","A dance movement","A vocal solo","A contrapuntal work where a theme is imitated across voices","A slow introduction","A self-contained movement based on the rhythm of a social dance","A composition written for one singer without independent vocal lines","2","59/19/16/12","59/19/63/68","4 (longest)","2 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-30","Music","Hard","What is 'the Tristan chord' significant for?","Its ambiguous harmony pointing toward modern tonality","Its ambiguous harmony pointing toward modern tonality","Being the loudest chord written","Its use in jazz only","Being a folk cadence","Its ambiguous harmony pointing toward modern tonality","An extreme volume marking requiring the full orchestra to play at maximum force","A chord structure whose harmonies appear exclusively in improvised jazz","A traditional closing progression derived from regional folk music","3","53/31/20/20","53/79/71/66","4 (longest)","1 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-31","Music","Hard","What is a hemiola?","A rhythmic regrouping that sets two groups of three against three groups of two","A rhythmic regrouping that sets two groups of three against three groups of two","A melody repeated an octave higher","A chord containing six notes","A cadence ending on the dominant","A rhythmic regrouping that sets two groups of three against three groups of two","A melodic line repeated one octave above its original pitch without any rhythmic alteration","A vertical sonority constructed from exactly six different notes sounding at the same time","A closing progression that pauses on dominant harmony rather than returning to the tonic","3","79/34/28/32","79/91/90/88","4 (longest)","1 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-33","Music","Hard","What does figured bass notation tell a continuo player?","Which intervals or chords to realize above a bass line","Which intervals or chords to realize above a bass line","The exact orchestral instrumentation","How loudly the singer should perform","The words of each verse","Which intervals or chords to realize above a bass line","The exact list of orchestral instruments required to perform the full score","The dynamic levels and expression a singer should apply to each phrase","The complete words of the text aligned syllable by syllable below the melody","3","54/36/36/23","54/75/70/76","4 (longest)","1 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-35","Music","Hard","What is isorhythm in medieval music?","A repeating rhythmic pattern applied to a melodic sequence","A repeating rhythmic pattern applied to a melodic sequence","Improvisation without metre","Two choirs singing in different keys","A dance in alternating tempos","A repeating rhythmic pattern applied to a melodic sequence","A freely improvised performance with no recurring pulse or metre","Two choirs singing in different keys","A dance whose sections alternate between two contrasting tempos","2","58/27/36/29","58/64/36/63","4 (longest)","2 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-37","Music","Hard","What is Sprechstimme?","A vocal delivery between speaking and singing","A vocal delivery between speaking and singing","A silent choral passage","A bass drum roll","A melody played backwards","A vocal delivery between speaking and singing","A marked passage in which a choir remains silent for a prescribed number of bars","A sustained roll played on the bass drum beneath an orchestral crescendo","A melodic line performed in the reverse of its written note order","3","45/23/16/25","45/80/72/65","4 (longest)","1 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-38","Music","Hard","What is hocket?","A melody split between voices that alternate notes or phrases","A melody split between voices that alternate notes or phrases","A sustained drone under a melody","A chord built only from fifths","A solo added before a chorus","A melody split between voices that alternate notes or phrases","A sustained drone under a melody","A harmony constructed entirely from a succession of perfect fifths","An improvised instrumental passage inserted before the chorus begins","2","61/32/30/28","61/32/66/68","4 (longest)","2 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-4","Music","Hard","What is 'equal temperament'?","Dividing the octave into twelve equal semitones","Dividing the octave into twelve equal semitones","Tuning to pure ratios","A dynamic marking","A tempo system","Dividing the octave into twelve equal semitones","Tuning every interval according to exact whole-number acoustic ratios","A written symbol instructing a performer to change the dynamic level","A system that organizes named tempo categories from slow to fast","3","47/21/17/14","47/69/68/64","4 (longest)","1 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-40","Music","Hard","What was mensural notation designed to represent?","Rhythmic durations and metre in late medieval and Renaissance music","Rhythmic durations and metre in late medieval and Renaissance music","Electronic synthesizer settings","Guitar chord diagrams","Only the pitches of plainchant","Rhythmic durations and metre in late medieval and Renaissance music","Electronic synthesizer settings","A diagram showing the string and finger positions needed for a guitar chord","Only the pitches of plainchant","1","67/31/21/30","67/31/75/30","4 (longest)","3 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-5","Music","Hard","What does 'Köchel number' identify?","A catalogue number for Mozart's works","A catalogue number for Mozart's works","A tempo scale","A tuning standard","A German copyright code","A catalogue number for Mozart's works","A graduated numerical scale indicating the intended performance tempo","A tuning standard","A German copyright code","1","37/13/17/23","37/69/17/23","4 (longest)","3 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-6","Music","Hard","What is 'sonata form' built around?","Exposition, development, and recapitulation","Exposition, development, and recapitulation","Verse and chorus","A repeated ground bass","A single theme repeated","Exposition, development, and recapitulation","Alternating recurring vocal sections organized as verses and choruses","A set of variations played above a bass pattern that never changes","A single theme repeated","2","43/16/22/23","43/69/66/23","4 (longest)","2 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-8","Music","Hard","What is a 'Neapolitan sixth' chord?","A major chord built on the flattened second degree","A major chord built on the flattened second degree","A diminished seventh","An inverted dominant","A suspended fourth","A major chord built on the flattened second degree","A four-note dissonant chord constructed from stacked minor thirds","A dominant harmony with its chord tones rearranged above a new bass","A chord in which the expected third is temporarily replaced by a fourth","3","50/20/20/18","50/65/67/71","4 (longest)","1 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-hard-9","Music","Hard","What is 'musique concrète'?","Composition built from recorded natural sounds","Composition built from recorded natural sounds","Concrete-hall acoustics","Minimalist piano writing","Serial vocal music","Composition built from recorded natural sounds","Concrete-hall acoustics","Minimalist piano writing","A vocal composition organized according to a serially ordered pitch row","1","46/23/24/18","46/23/24/71","4 (longest)","3 of 4 (shortest to longest)","85.6%","23.1%","26.9%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"music-medium-11","Music","Medium","What is a 'minor key' often described as sounding?","Darker or sadder than major","Darker or sadder than major","Louder","Faster","Higher","Darker or sadder than major","Louder","Faster than equivalent music performed in a major key","Higher in register than a melody written in a major key","2","27/6/6/6","27/6/53/55","4 (longest)","2 of 4 (shortest to longest)","66.9%","29.4%","29.4%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
